epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.7004,1.50318,1.98497,1.59037,0.73151,0.80851,0.81174,0.45351,1.33915,1.86379,1.53809,0.000660661,0.000660661,0.000660661
2,50.3629,1.36153,1.37204,1.47508,0.82,0.88146,0.89497,0.52527,1.35427,1.43821,1.57413,0.00131419,0.00131419,0.00131419
3,72.4592,1.35362,1.21694,1.4755,0.7535,0.85714,0.82438,0.48945,1.36603,1.1115,1.55641,0.00195451,0.00195451,0.00195451
4,94.3574,1.32374,1.10015,1.45459,0.81217,0.92001,0.91194,0.59488,1.14493,0.75756,1.38244,0.0019406,0.0019406,0.0019406
5,116.386,1.294,1.04,1.43741,0.7792,0.91489,0.89886,0.58804,1.20334,0.85172,1.43635,0.0019208,0.0019208,0.0019208
6,138.45,1.2405,0.97768,1.40422,0.79953,0.92401,0.91341,0.66047,1.00441,0.7016,1.28127,0.001901,0.001901,0.001901
7,160.371,1.1995,0.90474,1.36332,0.85687,0.95441,0.93906,0.66143,1.05656,0.70377,1.31506,0.0018812,0.0018812,0.0018812
8,182.278,1.19093,0.89912,1.38216,0.8823,0.91138,0.94868,0.61388,1.18329,0.67913,1.37015,0.0018614,0.0018614,0.0018614
9,204.172,1.15096,0.88565,1.34448,0.85248,0.91335,0.95098,0.66336,1.05705,0.68411,1.29376,0.0018416,0.0018416,0.0018416
10,226.123,1.15971,0.87823,1.34165,0.85284,0.95124,0.95438,0.71042,0.9491,0.63118,1.23102,0.0018218,0.0018218,0.0018218
11,248.107,1.12028,0.82593,1.31762,0.81967,0.95327,0.94044,0.67332,1.01896,0.62156,1.27745,0.001802,0.001802,0.001802
12,270.043,1.10239,0.81195,1.30971,0.89001,0.9346,0.96321,0.70294,0.95276,0.56366,1.25065,0.0017822,0.0017822,0.0017822
13,291.88,1.09449,0.81202,1.31218,0.89079,0.91728,0.9552,0.71236,0.96018,0.59455,1.2557,0.0017624,0.0017624,0.0017624
14,313.899,1.0823,0.79755,1.29826,0.85799,0.93657,0.95109,0.72687,0.89772,0.55652,1.2,0.0017426,0.0017426,0.0017426
15,335.878,1.07033,0.76721,1.2856,0.88147,0.93313,0.95509,0.71241,0.92389,0.55017,1.22464,0.0017228,0.0017228,0.0017228
